Unnamed: 0,article_id,prod_name,product_type_name,product_group_name,perceived_colour_master_name,department_name,index_group_name,section_name,rating,t_dat,customer_id,price,sales_channel_id
40179,663713001,Atlanta Push Body Harlow,Underwear body,Underwear,Black,Expressive Lingerie,Ladieswear,Womens Lingerie,2,2018-09-20,000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,0.0508305084745762,2
10520,541518023,Rae Push (Melbourne) 2p,Bra,Underwear,Pink,Casual Lingerie,Ladieswear,Womens Lingerie,1,2018-09-20,000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,0.0304915254237288,2
6387,505221004,Inca Jumper,Sweater,Garment Upper body,Pink,Tops Knitwear DS,Divided,Divided Selected,4,2018-09-20,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,0.0152372881355932,2
46304,685687003,W YODA KNIT OL OFFER,Sweater,Garment Upper body,Pink,Campaigns,Ladieswear,Womens Everyday Collection,5,2018-09-20,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,0.0169322033898305,2
46305,685687004,W YODA KNIT OL OFFER,Sweater,Garment Upper body,Green,Campaigns,Ladieswear,Womens Everyday Collection,3,2018-09-20,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,0.0169322033898305,2
46302,685687001,W YODA KNIT OL OFFER,Sweater,Garment Upper body,Grey,Campaigns,Ladieswear,Womens Everyday Collection,3,2018-09-20,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,0.0169322033898305,2
6386,505221001,Inca jumper,Sweater,Garment Upper body,Unknown,Tops Knitwear DS,Divided,Divided Selected,1,2018-09-20,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,0.020322033898305,2
47416,688873012,Gyda!,Blouse,Garment Upper body,Beige,Blouse,Ladieswear,Womens Tailoring,2,2018-09-20,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,0.0304915254237288,1
5944,501323011,Thomas paperbag wide,Trousers,Garment Lower body,Black,Trouser,Ladieswear,Womens Tailoring,5,2018-09-20,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,0.0533728813559322,1
22540,598859003,Fiona Wide,Trousers,Garment Lower body,Red,Trouser,Ladieswear,Womens Tailoring,4,2018-09-20,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,0.0457457627118644,2
47423,688873020,Gyda!,Blouse,Garment Upper body,Yellow,Blouse,Ladieswear,Womens Tailoring,5,2018-09-20,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,0.0304915254237288,1
47415,688873011,Gyda!,Blouse,Garment Upper body,Turquoise,Blouse,Ladieswear,Womens Tailoring,5,2018-09-20,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,0.0304915254237288,1
9226,531310002,Drew Cardigan,Cardigan,Garment Upper body,Grey,Tops Knitwear,Divided,Divided Collection,1,2018-09-20,0008968c0d451dbc5a9968da03196fe20051965edde7413775c4eb3be9abe9c2,0.0225254237288135,2
9116,529841001,Lauper Sweater,Sweater,Garment Upper body,Grey,Tops Knitwear,Divided,Divided Collection,3,2018-09-20,0008968c0d451dbc5a9968da03196fe20051965edde7413775c4eb3be9abe9c2,0.020322033898305,2
6066,501820043,SIRPA,Sweater,Garment Upper body,Red,Tops Knitwear,Divided,Divided Collection,5,2018-09-20,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,0.0169322033898305,2
6066,501820043,SIRPA,Sweater,Garment Upper body,Red,Tops Knitwear,Divided,Divided Collection,5,2018-09-20,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,0.0169322033898305,2
42957,674681001,Felicia Tank,Vest top,Garment Upper body,Black,Basic 1,Divided,Divided Basics,2,2018-09-20,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,0.008457627118644,2
42082,671505001,EDC ROMAN BLOUSE,Blouse,Garment Upper body,White,Campaigns,Ladieswear,Womens Everyday Collection,2,2018-09-20,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,0.0338813559322033,2
42082,671505001,EDC ROMAN BLOUSE,Blouse,Garment Upper body,White,Campaigns,Ladieswear,Womens Everyday Collection,2,2018-09-20,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,0.0338813559322033,2
31362,631848002,RICHIE PELATED SKIRT,Skirt,Garment Lower body,Grey,Skirts,Divided,Divided Collection,5,2018-09-20,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,0.0338813559322033,2
31362,631848002,RICHIE PELATED SKIRT,Skirt,Garment Lower body,Grey,Skirts,Divided,Divided Collection,5,2018-09-20,000aa7f0dc06cd7174389e76c9e132a67860c5f65f970699daccc14425ac31a8,0.0338813559322033,2
